config,dataset,model,gamma,n_seeds,seeds,task_acc_mean,task_acc_std,concept_acc_mean,concept_acc_std,urr_task_mean,urr_task_std,urr_nontask_mean,urr_nontask_std,leak_acc_task_mean,leak_acc_task_std,leak_acc_nontask_mean,leak_acc_nontask_std,ece_mean,ece_std,brier_mean,brier_std,map_concepts_mean,map_concepts_std,auc_tti_mean,auc_tti_std,nauc_tti_mean,nauc_tti_std,auc_tti_random_mean,auc_tti_random_std,nauc_tti_random_mean,nauc_tti_random_std,interv_error_0_mean,interv_error_0_std,interv_error_full_mean,interv_error_full_std
awa2-arhcbm,awa2,ARCBM,,3,42/43/44,93.8765,0.1719,98.222,0.0262,6.546,0.0337,0.0,0.0,1.4342,0.0096,0.0,0.0,0.0148,0.0016,0.1009,0.0025,0.9747,0.0011,89.8197,0.4725,-0.0019,0.0002,89.8197,0.4725,-0.0019,0.0002,6.1235,0.1719,9.8775,0.5171
awa2-cbm,awa2,CBM,,3,42/43/44,94.3956,0.0518,98.9047,0.0115,6.5635,0.0153,0.0,0.0,1.4315,0.0095,0.0,0.0,0.0309,0.0004,0.0891,0.0006,0.9754,0.0007,94.8046,0.827,-0.004,0.0018,94.8046,0.827,-0.004,0.0018,5.6044,0.0518,13.6789,3.5129
awa2-cem,awa2,CEM,,3,42/43/44,94.284,0.1227,98.9181,0.0188,6.8668,0.0426,0.0,0.0,1.4268,0.0117,0.0,0.0,0.0333,0.0009,0.0907,0.0018,0.9749,0.0003,,,,,,,,,,,,
awa2-mcbm-005,awa2,MCBM (low g),0.05,3,42/43/44,94.1891,0.0068,98.9483,0.0154,6.5483,0.1088,0.0,0.0,1.4135,0.0075,0.0,0.0,0.0313,0.0001,0.0919,0.0011,0.9682,0.001,94.5372,1.1296,-0.0019,0.0005,94.5372,1.1296,-0.0019,0.0005,5.8109,0.0068,9.6654,0.9612
awa2-mcbm-01,awa2,MCBM (medium g),0.1,3,42/43/44,94.1221,0.1888,98.9616,0.0262,6.5155,0.1133,0.0,0.0,1.4129,0.0025,0.0,0.0,0.0315,0.0009,0.0934,0.0017,0.9671,0.0015,93.6833,0.9903,-0.0019,0.0006,93.6833,0.9903,-0.0019,0.0006,5.8779,0.1888,9.6654,0.9612
awa2-mcbm-03,awa2,MCBM (high g),0.3,3,42/43/44,93.963,0.1142,98.9676,0.0164,6.4032,0.1064,0.0,0.0,1.4089,0.0023,0.0,0.0,0.0284,0.0006,0.097,0.0016,0.9674,0.0008,94.1422,0.3265,-0.0014,0.0001,94.1422,0.3265,-0.0014,0.0001,6.037,0.1142,8.9118,0.2645
awa2-shcbm,awa2,SCBM,,3,42/43/44,85.7685,0.0597,98.9397,0.0176,4.7889,0.1866,0.0,0.0,1.1492,0.0217,0.0,0.0,0.0103,0.001,0.1986,0.0005,0.9744,0.001,89.7657,0.0359,0.0028,0.0,89.7657,0.0359,0.0028,0.0,14.2315,0.0597,8.7248,0.0
awa2-vanilla,awa2,Vanilla,,3,42/43/44,94.471,0.1024,,,6.5576,0.0163,0.0,0.0,1.4245,0.0047,0.0,0.0,0.0311,0.0007,0.0871,0.0012,,,,,,,,,,,,,,
cifar10-arhcbm,cifar10,ARCBM,,3,42/43/44,68.8167,0.6329,84.3646,0.1803,18.1228,0.8931,0.0,0.0,-0.5558,0.0944,0.0,0.0,0.1625,0.0087,0.477,0.0117,0.8415,0.0202,70.9351,1.312,0.0003,0.0002,70.9351,1.312,0.0003,0.0002,31.1833,0.6329,29.4033,1.6523
cifar10-cbm,cifar10,CBM,,3,42/43/44,73.78,0.1558,84.7399,0.1749,18.4181,0.6524,0.0,0.0,-0.5339,0.0726,0.0,0.0,0.1829,0.0019,0.4344,0.0012,0.8468,0.0209,74.0016,1.3297,-0.0014,0.0003,74.0016,1.3297,-0.0014,0.0003,26.22,0.1558,34.88,2.0906
cifar10-cem,cifar10,CEM,,3,42/43/44,73.2933,0.033,84.7341,0.1451,26.7825,0.8007,0.0,0.0,-0.7182,0.0659,0.0,0.0,0.1931,0.0006,0.448,0.0009,0.8462,0.0206,,,,,,,,,,,,
cifar10-mcbm-01,cifar10,MCBM (low g),0.1,3,42/43/44,72.22,0.1883,84.9135,0.2038,17.6735,0.7069,0.0,0.0,-0.7063,0.0782,0.0,0.0,0.1051,0.0032,0.4012,0.0047,0.8415,0.0203,75.2771,0.2529,0.0004,0.0001,75.2771,0.2529,0.0004,0.0001,27.78,0.1883,25.1467,0.5037
cifar10-mcbm-03,cifar10,MCBM (medium g),0.3,3,42/43/44,70.05,0.5935,84.8651,0.2086,17.7504,0.5227,0.0,0.0,-0.6883,0.0669,0.0,0.0,0.0438,0.0076,0.4078,0.0065,0.841,0.0207,74.5159,0.3512,0.0008,0.0001,74.5159,0.3512,0.0008,0.0001,29.95,0.5935,24.9867,0.5604
cifar10-mcbm-05,cifar10,MCBM (high g),0.5,3,42/43/44,69.39,0.5581,84.8919,0.1953,17.6417,0.7218,0.0,0.0,-0.6931,0.0859,0.0,0.0,0.0228,0.0079,0.4147,0.0067,0.8404,0.0211,74.3596,0.2215,0.0009,0.0001,74.3596,0.2215,0.0009,0.0001,30.61,0.5581,24.8733,0.4207
cifar10-shcbm,cifar10,SCBM,,3,42/43/44,59.7833,0.7151,84.2404,0.1955,17.8326,1.0373,0.0,0.0,-0.7551,0.0617,0.0,0.0,0.0389,0.008,0.5344,0.0066,0.8411,0.0216,71.1317,0.6582,0.0024,0.0,71.1317,0.6582,0.0024,0.0,40.2167,0.7151,24.68,0.7518
cifar10-vanilla,cifar10,Vanilla,,3,42/43/44,71.3933,0.0411,,,20.1223,0.6463,0.0,0.0,-0.7952,0.0566,0.0,0.0,0.2209,0.0011,0.4905,0.0006,,,,,,,,,,,,,,
cub12-arhcbm,cub12,ARCBM,,3,42/43/44,74.1572,0.4041,96.3101,0.0924,0.178,0.2441,0.0,0.0,0.0132,0.0332,0.0,0.0,0.0675,0.0018,0.372,0.0073,0.9529,0.0004,81.9464,0.811,0.0111,0.001,81.9464,0.811,0.0111,0.001,25.8428,0.4041,12.5475,1.0393
cub12-cbm,cub12,CBM,,3,42/43/44,77.3041,0.5863,96.3561,0.1175,0.1011,0.2557,0.0,0.0,0.0025,0.0249,0.0,0.0,0.1392,0.004,0.3583,0.0069,0.9516,0.0016,78.1378,1.2825,-0.004,0.0016,78.1378,1.2825,-0.004,0.0016,22.6959,0.5863,27.54,2.2273
cub12-cem,cub12,CEM,,3,42/43/44,76.631,0.8023,96.3452,0.0999,-0.3378,0.3764,0.0,0.0,-0.1881,0.0318,0.0,0.0,0.1442,0.0061,0.369,0.0112,0.9518,0.0009,,,,,,,,,,,,
