dataset,variant,seed,task_acc,concept_acc,auc_tti,nauc_tti,tti_full
awa2,basic,42,87.17214081339097,96.87236547470093,83.4442139070632,0.0007468908217567701,88.29247704602612
awa2,basic,43,87.04257661539029,96.87236547470093,85.0673035498408,0.003926991485134549,92.93306384309211
awa2,basic,44,87.11649579606191,96.86883687973022,85.09839008384927,0.003957588460145571,93.05287848628026
awa2,ibhc,42,88.29836777644024,96.88557386398315,93.02051254562556,0.006283562375843969,97.7237113402062
awa2,ibhc,43,88.59007318402847,96.88036441802979,92.39224820181914,0.006089092104118484,97.7237113402062
awa2,ibhc,44,88.51978831962505,96.88222408294678,93.37860302009739,0.005507701858831108,96.78134110787171
awa2,ibvar,42,88.32615724133281,96.87142968177795,92.73977815329339,0.006265036065915597,97.7237113402062
awa2,ibvar,43,88.6764427562575,96.87292575836182,93.07475205572653,0.006031512389299132,97.7237113402062
awa2,ibvar,44,88.57979801149978,96.87404036521912,93.058168257028,0.005467695397581288,96.78134110787171
cifar10,basic,42,91.07,87.1764063835144,75.62503124999999,-0.004735937499999999,60.760000000000005
cifar10,basic,43,91.08000000000001,87.16562986373901,76.23203125,-0.004451562500000001,62.59
cifar10,basic,44,91.22,87.18171715736389,75.67178125000001,-0.0044609375,62.67
cifar10,ibhc,42,90.81,87.19921112060547,63.122499999999995,-0.0036390625,67.52
cifar10,ibhc,43,91.16,87.17796802520752,62.00712500000001,-0.0036578124999999996,67.75
cifar10,ibhc,44,91.06,87.1885895729065,61.57475,-0.003949999999999999,65.78
cifar10,ibvar,42,91.01,87.18515634536743,62.804875,-0.0037203124999999997,67.2
cifar10,ibvar,43,91.27,87.16391324996948,61.72975,-0.0036890624999999996,67.66
cifar10,ibvar,44,91.14,87.18922138214111,61.66925,-0.0039828125,65.64999999999999
cub,basic,42,43.18260269244046,89.64568972587585,64.63212263005153,0.010873317224715224,72.54055919917157
cub,basic,43,42.54401104590956,89.63890671730042,65.71242281287155,0.011653178895153351,74.00759406282361
cub,basic,44,43.096306523990336,89.65802192687988,65.05848962528286,0.011045909561615466,72.9202623403521
cub,ibhc,42,55.60925094925785,89.66742157936096,73.75612063565117,0.013596440762474587,92.31964100793924
cub,ibhc,43,55.29858474283742,89.66618776321411,74.73849064805226,0.013890486966082407,92.80289955125993
cub,ibhc,44,54.556437694166384,89.66156244277954,76.10772318746083,0.014932433296257942,94.87400759406283
cub,ibvar,42,55.79910251984812,89.64677453041077,73.24729285723416,0.013526125365959672,92.31964100793924
cub,ibvar,43,55.55747324818778,89.64908719062805,76.11219780360271,0.013986371597693654,93.32067656196065
cub,ibvar,44,54.74628926475664,89.6470844745636,75.61014587248623,0.014676740945294628,94.37348981705213
mpi3d,basic,42,72.94444444444444,98.80852699279785,37.021957671957665,-0.04014054232804233,16.747685185185183
mpi3d,basic,43,74.94675925925925,98.82888197898865,37.59305555555556,-0.041570767195767196,16.747685185185183
mpi3d,basic,44,72.68518518518519,98.69593381881714,38.34910714285714,-0.04020833333333334,16.39351851851852
mpi3d,ibhc,42,87.63194444444444,98.89004826545715,23.79460978835979,-0.04993716931216931,17.719907407407405
mpi3d,ibhc,43,87.93287037037038,98.85912537574768,24.5239417989418,-0.050940806878306884,16.61574074074074
mpi3d,ibhc,44,87.6574074074074,98.81399273872375,23.588458994708997,-0.05044973544973545,17.02777777777778
mpi3d,ibvar,42,87.78703703703704,98.81283044815063,23.75439814814815,-0.05006944444444445,17.689814814814813
mpi3d,ibvar,43,87.99305555555556,98.76587986946106,24.748214285714283,-0.0509837962962963,16.61574074074074
mpi3d,ibvar,44,87.74537037037037,98.7179160118103,23.527546296296297,-0.05078703703703703,16.64351851851852
shapes3d,basic,42,78.96333333333332,93.86740922927856,44.94425925925925,-0.029753703703703702,25.406666666666666
shapes3d,basic,43,78.66333333333333,93.89795660972595,44.685740740740734,-0.029587037037037037,25.406666666666666
shapes3d,basic,44,79.03666666666666,93.87258887290955,44.915666666666674,-0.029794444444444443,25.406666666666666
shapes3d,ibhc,42,99.84333333333333,95.01721858978271,35.56118518518519,-0.04173518518518518,24.72
shapes3d,ibhc,43,99.91333333333333,95.02629041671753,52.66692592592592,-0.041805555555555554,24.663333333333334
shapes3d,ibhc,44,99.94,95.034259557724,36.050222222222224,-0.04140555555555556,25.41
shapes3d,ibvar,42,99.91333333333333,94.77593302726746,39.47377777777778,-0.041772222222222224,24.723333333333333
shapes3d,ibvar,43,99.93333333333332,94.80574131011963,39.61059259259259,-0.04179444444444444,24.703333333333337
shapes3d,ibvar,44,99.98,94.78963017463684,36.12488888888889,-0.04130740740740741,25.626666666666665
