config,dataset,model,seed,n_groups_intervened,error,error_random
awa2-arhcbm,awa2,ARCBM,42,0,6.363560244494678,6.363560244494678
awa2-arhcbm,awa2,ARCBM,42,1,6.0035167043456426,6.0035167043456426
awa2-arhcbm,awa2,ARCBM,42,2,7.920957883278902,7.920957883278902
awa2-arhcbm,awa2,ARCBM,42,3,9.076446453989789,9.076446453989789
awa2-arhcbm,awa2,ARCBM,42,4,11.194842166959731,11.194842166959731
awa2-arhcbm,awa2,ARCBM,42,5,13.664908314493843,13.664908314493843
awa2-arhcbm,awa2,ARCBM,42,6,13.597923469814958,13.597923469814958
awa2-arhcbm,awa2,ARCBM,42,7,13.262999246420492,13.262999246420492
awa2-arhcbm,awa2,ARCBM,42,8,12.425688687934354,12.425688687934354
awa2-arhcbm,awa2,ARCBM,42,9,12.065645147785318,12.065645147785318
awa2-arhcbm,awa2,ARCBM,42,10,11.3957967009964,11.3957967009964
awa2-arhcbm,awa2,ARCBM,42,11,11.328811856317515,11.328811856317515
awa2-arhcbm,awa2,ARCBM,42,12,11.08599179435653,11.08599179435653
awa2-arhcbm,awa2,ARCBM,42,13,10.709202043037763,10.709202043037763
awa2-arhcbm,awa2,ARCBM,42,14,10.37427781964331,10.37427781964331
awa2-arhcbm,awa2,ARCBM,42,15,10.37427781964331,10.37427781964331
awa2-arhcbm,awa2,ARCBM,42,16,10.349158502888727,10.349158502888727
awa2-arhcbm,awa2,ARCBM,42,17,10.349158502888727,10.349158502888727
awa2-arhcbm,awa2,ARCBM,42,18,10.340785397303861,10.340785397303861
awa2-arhcbm,awa2,ARCBM,42,19,10.608724776019429,10.608724776019429
awa2-arhcbm,awa2,ARCBM,42,20,10.608724776019429,10.608724776019429
awa2-arhcbm,awa2,ARCBM,43,0,6.037009126685092,6.037009126685092
awa2-arhcbm,awa2,ARCBM,43,1,5.777442853554376,5.777442853554376
awa2-arhcbm,awa2,ARCBM,43,2,7.611152976639033,7.611152976639033
awa2-arhcbm,awa2,ARCBM,43,3,9.22716235451729,9.22716235451729
awa2-arhcbm,awa2,ARCBM,43,4,10.458008875491913,10.458008875491913
awa2-arhcbm,awa2,ARCBM,43,5,10.449635769907061,10.449635769907061
awa2-arhcbm,awa2,ARCBM,43,6,9.72117558402411,9.72117558402411
awa2-arhcbm,awa2,ARCBM,43,7,11.01063384409278,11.01063384409278
awa2-arhcbm,awa2,ARCBM,43,8,11.554885707108767,11.554885707108767
awa2-arhcbm,awa2,ARCBM,43,9,11.094364899941382,11.094364899941382
awa2-arhcbm,awa2,ARCBM,43,10,10.43288955873733,10.43288955873733
awa2-arhcbm,awa2,ARCBM,43,11,10.349158502888727,10.349158502888727
awa2-arhcbm,awa2,ARCBM,43,12,10.106338440927743,10.106338440927743
awa2-arhcbm,awa2,ARCBM,43,13,10.15657707443691,10.15657707443691
awa2-arhcbm,awa2,ARCBM,43,14,9.587205894666326,9.587205894666326
awa2-arhcbm,awa2,ARCBM,43,15,9.587205894666326,9.587205894666326
awa2-arhcbm,awa2,ARCBM,43,16,9.570459683496608,9.570459683496608
awa2-arhcbm,awa2,ARCBM,43,17,9.562086577911742,9.562086577911742
awa2-arhcbm,awa2,ARCBM,43,18,9.562086577911742,9.562086577911742
awa2-arhcbm,awa2,ARCBM,43,19,9.562086577911742,9.562086577911742
awa2-arhcbm,awa2,ARCBM,43,20,9.511847944402575,9.511847944402575
awa2-arhcbm,awa2,ARCBM,44,0,5.970024282006193,5.970024282006193
awa2-arhcbm,awa2,ARCBM,44,1,8.414971112785736,8.414971112785736
awa2-arhcbm,awa2,ARCBM,44,2,8.138658628485302,8.138658628485302
awa2-arhcbm,awa2,ARCBM,44,3,9.520221049987441,9.520221049987441
awa2-arhcbm,awa2,ARCBM,44,4,9.578832789081474,9.578832789081474
awa2-arhcbm,awa2,ARCBM,44,5,8.942476764632005,8.942476764632005
awa2-arhcbm,awa2,ARCBM,44,6,10.43288955873733,10.43288955873733
awa2-arhcbm,awa2,ARCBM,44,7,11.755840241145435,11.755840241145435
awa2-arhcbm,awa2,ARCBM,44,8,11.270200117223482,11.270200117223482
awa2-arhcbm,awa2,ARCBM,44,9,11.881436824918367,11.881436824918367
awa2-arhcbm,awa2,ARCBM,44,10,11.245080800468898,11.245080800468898
awa2-arhcbm,awa2,ARCBM,44,11,10.667336515113462,10.667336515113462
awa2-arhcbm,awa2,ARCBM,44,12,10.340785397303861,10.340785397303861
awa2-arhcbm,awa2,ARCBM,44,13,9.922130118060792,9.922130118060792
awa2-arhcbm,awa2,ARCBM,44,14,9.620698317005775,9.620698317005775
awa2-arhcbm,awa2,ARCBM,44,15,9.61232521142091,9.61232521142091
awa2-arhcbm,awa2,ARCBM,44,16,9.587205894666326,9.587205894666326
awa2-arhcbm,awa2,ARCBM,44,17,9.587205894666326,9.587205894666326
awa2-arhcbm,awa2,ARCBM,44,18,9.587205894666326,9.587205894666326
awa2-arhcbm,awa2,ARCBM,44,19,9.570459683496608,9.570459683496608
awa2-arhcbm,awa2,ARCBM,44,20,9.511847944402575,9.511847944402575
awa2-cbm,awa2,CBM,42,0,5.576488319517708,5.576488319517708
awa2-cbm,awa2,CBM,42,1,5.040609562086573,5.040609562086573
awa2-cbm,awa2,CBM,42,2,4.2367914259398844,4.2367914259398844
awa2-cbm,awa2,CBM,42,3,3.9521058360545993,3.9521058360545993
awa2-cbm,awa2,CBM,42,4,4.2284183203550185,4.2284183203550185
awa2-cbm,awa2,CBM,42,5,3.7427781964330507,3.7427781964330507
awa2-cbm,awa2,CBM,42,6,3.365988445114297,3.365988445114297
awa2-cbm,awa2,CBM,42,7,3.2906304948505465,3.2906304948505465
awa2-cbm,awa2,CBM,42,8,3.3408691283597136,3.3408691283597136
awa2-cbm,awa2,CBM,42,9,3.240391861341365,3.240391861341365
awa2-cbm,awa2,CBM,42,10,3.2655111780959487,3.2655111780959487
awa2-cbm,awa2,CBM,42,11,3.8600016746211168,3.8600016746211168
awa2-cbm,awa2,CBM,42,12,5.040609562086573,5.040609562086573
awa2-cbm,awa2,CBM,42,13,5.30854894080214,5.30854894080214
awa2-cbm,awa2,CBM,42,14,6.706857573473997,6.706857573473997
awa2-cbm,awa2,CBM,42,15,5.844427698233275,5.844427698233275
awa2-cbm,awa2,CBM,42,16,5.45089173574479,5.45089173574479
awa2-cbm,awa2,CBM,42,17,9.897010801306209,9.897010801306209
awa2-cbm,awa2,CBM,42,18,13.589550364230092,13.589550364230092
awa2-cbm,awa2,CBM,42,19,14.812023779619864,14.812023779619864
awa2-cbm,awa2,CBM,42,20,18.646906137486397,18.646906137486397
awa2-cbm,awa2,CBM,43,0,5.55974210834799,5.55974210834799
awa2-cbm,awa2,CBM,43,1,4.73917776103157,4.73917776103157
awa2-cbm,awa2,CBM,43,2,3.9353596248848675,3.9353596248848675
awa2-cbm,awa2,CBM,43,3,3.5167043456417986,3.5167043456417986
awa2-cbm,awa2,CBM,43,4,2.9808255882106636,2.9808255882106636
awa2-cbm,awa2,CBM,43,5,3.0896759608138638,3.0896759608138638
awa2-cbm,awa2,CBM,43,6,2.964079377040946,2.964079377040946
awa2-cbm,awa2,CBM,43,7,2.9473331658712283,2.9473331658712283
awa2-cbm,awa2,CBM,43,8,3.139914594323031,3.139914594323031
awa2-cbm,awa2,CBM,43,9,2.8217365820982963,2.8217365820982963
awa2-cbm,awa2,CBM,43,10,2.6961399983253784,2.6961399983253784
awa2-cbm,awa2,CBM,43,11,2.7380055262496796,2.7380055262496796
awa2-cbm,awa2,CBM,43,12,2.5705434145524606,2.5705434145524606
awa2-cbm,awa2,CBM,43,13,2.8803483211923293,2.8803483211923293
awa2-cbm,awa2,CBM,43,14,5.057355773256305,5.057355773256305
awa2-cbm,awa2,CBM,43,15,5.66859248095119,5.66859248095119
awa2-cbm,awa2,CBM,43,16,5.953278070836475,5.953278070836475
awa2-cbm,awa2,CBM,43,17,7.376706020262915,7.376706020262915
awa2-cbm,awa2,CBM,43,18,7.4269446537720825,7.4269446537720825
awa2-cbm,awa2,CBM,43,19,12.635016327555888,12.635016327555888
awa2-cbm,awa2,CBM,43,20,11.194842166959731,11.194842166959731
awa2-cbm,awa2,CBM,44,0,5.676965586536042,5.676965586536042
awa2-cbm,awa2,CBM,44,1,4.714058444276986,4.714058444276986
awa2-cbm,awa2,CBM,44,2,3.9437327304697334,3.9437327304697334
awa2-cbm,awa2,CBM,44,3,3.5920622959055493,3.5920622959055493
awa2-cbm,awa2,CBM,44,4,2.8552290044377457,2.8552290044377457
awa2-cbm,awa2,CBM,44,5,2.9891986937955295,2.9891986937955295
awa2-cbm,awa2,CBM,44,6,3.382734656284015,3.382734656284015
awa2-cbm,awa2,CBM,44,7,3.3911077618688807,3.3911077618688807
awa2-cbm,awa2,CBM,44,8,3.3241229171899818,3.3241229171899818
awa2-cbm,awa2,CBM,44,9,3.20689943900193,3.20689943900193
awa2-cbm,awa2,CBM,44,10,2.369588880515778,2.369588880515778
awa2-cbm,awa2,CBM,44,11,2.5621703089675947,2.5621703089675947
awa2-cbm,awa2,CBM,44,12,2.059783973875909,2.059783973875909
awa2-cbm,awa2,CBM,44,13,3.31574981160513,3.31574981160513
awa2-cbm,awa2,CBM,44,14,3.248764966926231,3.248764966926231
awa2-cbm,awa2,CBM,44,15,3.5753160847358316,3.5753160847358316
awa2-cbm,awa2,CBM,44,16,3.834882357866533,3.834882357866533
awa2-cbm,awa2,CBM,44,17,4.772670183371005,4.772670183371005
awa2-cbm,awa2,CBM,44,18,6.924558318680397,6.924558318680397
awa2-cbm,awa2,CBM,44,19,13.271372352005358,13.271372352005358
awa2-cbm,awa2,CBM,44,20,11.194842166959731,11.194842166959731
awa2-mcbm-005,awa2,MCBM (low g),42,0,5.810935275893826,5.810935275893826
awa2-mcbm-005,awa2,MCBM (low g),42,1,5.400653102235623,5.400653102235623
