config,dataset,model,seed,cka,disentanglement,ois,nis
awa2-arhcbm,awa2,ARCBM,42,0.7385903596878052,0.29879899638449087,14.861972282393815,0.0007623678007373513
awa2-arhcbm,awa2,ARCBM,43,0.7404581308364868,0.30243846295127885,15.348792733738167,0.002077379391875467
awa2-arhcbm,awa2,ARCBM,44,0.7407373189926147,0.31264784964214515,15.926894969768163,0.011164640867373232
awa2-cbm,awa2,CBM,42,0.736329972743988,0.3065457387944062,12.050737428356967,3.994120654382538e-05
awa2-cbm,awa2,CBM,43,0.743141770362854,0.2974055725475397,13.178969070041763,5.083426287411097e-05
awa2-cbm,awa2,CBM,44,0.746586263179779,0.29137561846063387,11.98178286709874,0.009305035116414229
awa2-cem,awa2,CEM,42,0.7087552547454834,0.2991757329543028,13.535120563541032,0.009162914753150786
awa2-cem,awa2,CEM,43,0.6930347681045532,0.3303937571640548,12.951621853840203,0.0006995682118704494
awa2-cem,awa2,CEM,44,0.7202290296554565,0.29743100929946814,13.980015505517255,0.00019970603271968201
awa2-mcbm-005,awa2,MCBM (low g),42,0.9338912963867188,0.5777894022065958,8.218440381440855,0.014621026303477948
awa2-mcbm-005,awa2,MCBM (low g),43,0.934390127658844,0.5932708558873421,7.234258239519467,0.010095387804334166
awa2-mcbm-005,awa2,MCBM (low g),44,0.9365922808647156,0.5708479177825069,7.069652119047842,0.013226307819431127
awa2-mcbm-01,awa2,MCBM (medium g),42,0.9416889548301697,0.66726863657783,7.717341304160675,0.1310250646181932
awa2-mcbm-01,awa2,MCBM (medium g),43,0.9408785104751587,0.6550517760112571,6.8935087560140484,0.17657404427015355
awa2-mcbm-01,awa2,MCBM (medium g),44,0.9382819533348083,0.616394066006534,6.653063268595713,0.007488700563406114
awa2-mcbm-03,awa2,MCBM (high g),42,0.9414868354797363,0.7625152579458342,5.763516221741895,0.12089489065076342
awa2-mcbm-03,awa2,MCBM (high g),43,0.9451197981834412,0.7323722397209883,6.797067377011337,0.2475269042619038
awa2-mcbm-03,awa2,MCBM (high g),44,0.9436459541320801,0.7536600743205174,6.194583204472511,0.02826928188315259
awa2-shcbm,awa2,SCBM,42,0.7471967935562134,0.3350810138250767,13.967039059676184,0.00034328159272567493
awa2-shcbm,awa2,SCBM,43,0.7843170166015625,0.3664103018191739,14.787386564799176,0.00017309888253047578
awa2-shcbm,awa2,SCBM,44,0.7799453735351562,0.3479883395823574,13.323982077352028,3.2679168990301655e-05
awa2-vanilla,awa2,Vanilla,42,0.41548478603363037,0.12294627375610119,nan,nan
awa2-vanilla,awa2,Vanilla,43,0.4162862300872803,0.1222440315747361,nan,nan
awa2-vanilla,awa2,Vanilla,44,0.404679536819458,0.12341542574440134,nan,nan
cifar10-arhcbm,cifar10,ARCBM,42,0.31586435437202454,0.26250343632793094,16.087350696895474,1.9570882464582495
cifar10-arhcbm,cifar10,ARCBM,43,0.31398695707321167,0.26956301923412096,15.37416717904912,2.581296403075145
cifar10-arhcbm,cifar10,ARCBM,44,0.25858360528945923,0.2757959632288939,16.973386480246237,3.108137346291993
cifar10-cbm,cifar10,CBM,42,0.35588881373405457,0.28897736458916556,15.035042574986262,2.105871728097095
cifar10-cbm,cifar10,CBM,43,0.34677568078041077,0.2898221349807786,14.772593981088852,3.1252052961033563
cifar10-cbm,cifar10,CBM,44,0.2712235152721405,0.3080993310557076,15.487952703285025,4.721555314913791
cifar10-cem,cifar10,CEM,42,0.31372469663619995,0.3603032551808307,15.977052394187169,1.3983633065544856
cifar10-cem,cifar10,CEM,43,0.3451310992240906,0.38100972064436195,15.894608669897087,2.0939905026751835
cifar10-cem,cifar10,CEM,44,0.2673446536064148,0.3673373210174765,16.598999411789237,3.0926982512614436
cifar10-mcbm-01,cifar10,MCBM (low g),42,0.39414182305336,0.30923622734287043,13.072418072463751,3.268713346685291
cifar10-mcbm-01,cifar10,MCBM (low g),43,0.394487202167511,0.30532253333697906,12.627575012873923,4.686231249339409
cifar10-mcbm-01,cifar10,MCBM (low g),44,0.3268253207206726,0.3196335513140537,14.117203402634956,5.1936908951518745
cifar10-mcbm-03,cifar10,MCBM (medium g),42,0.3856807351112366,0.2982635865747526,12.763995190084387,3.553720980234977
cifar10-mcbm-03,cifar10,MCBM (medium g),43,0.3953784704208374,0.3067102188252071,12.494254642665178,4.816432193463369
cifar10-mcbm-03,cifar10,MCBM (medium g),44,0.3217087388038635,0.31035022043175053,14.065600036720369,4.7332200720971604
cifar10-mcbm-05,cifar10,MCBM (high g),42,0.39277732372283936,0.3119064671446559,12.931471143731763,3.5604292215473428
cifar10-mcbm-05,cifar10,MCBM (high g),43,0.3920482397079468,0.3074622683588259,12.698997495995288,5.284805505589732
cifar10-mcbm-05,cifar10,MCBM (high g),44,0.32264432311058044,0.3181081763382856,13.835909703456279,5.00548932820816
cifar10-shcbm,cifar10,SCBM,42,0.3112240135669708,0.25834117172643833,15.605783610761199,2.0766048045422902
